company,size,industry,city,state,contacts,roles,interactions,interactionSubjects,daysSinceLastInteraction,averageOfferValue,offerClosed,offerHitRate,daysSinceLastOfferClosed,customerClassification
"Jones, Anderson and Wheeler",Small,Automobile Manufacturers (OEMs),Sylviaberg,Arizona,5,"CEO, Technical Representative, CFO",17,"Product demostration, Discuss project details, Follow-up on proposal, Follow-up on order, Product feedback, Contract negotiation",105,9975.46,7,0.44,89,C
Anderson Ltd,Small,Fleet Management,Obrienberg,Utah,3,"CCO, Technical Manager, Technical Representative",16,"Follow-up on order, Discuss project details, Product demostration, Follow-up on proposal, Contract negotiation",58,9472.04,8,0.44,38,B
Park-Taylor,Small,Ridesharing & Mobility Services,West Cynthiastad,South Carolina,2,"CCO, Technical Manager",15,"Contract negotiation, Product demostration, Follow-up on order, Discuss project details, Follow-up on proposal, Customer inquiry, Product feedback",45,10039.43,12,0.55,49,A
Martin LLC,Small,Fleet Management,Smithfort,New Jersey,2,"CEO, Technical Manager",14,"Product feedback, Follow-up on proposal, Contract negotiation, Customer inquiry, Follow-up on order, Discuss project details",93,9964.54,7,0.35,83,C
"Skinner, Baxter and Proctor",Large,Fleet Management,New Karinahaven,Iowa,1,Sales Manager,16,"Discuss project details, Contract negotiation, Product feedback, Follow-up on order, Follow-up on proposal, Product demostration, Customer inquiry",99,10168.71,14,0.52,48,A
"Chen, Rogers and Griffin",Large,Fleet Management,Jordanside,California,1,Sales Representative,12,"Customer inquiry, Product demostration, Product feedback, Discuss project details, Contract negotiation",192,9877.24,4,0.24,34,C
Jackson-Stevenson,Small,Fleet Management,Christopherville,North Carolina,1,CFO,16,"Follow-up on proposal, Product demostration, Contract negotiation, Discuss project details, Product feedback, Follow-up on order",53,10075.71,6,0.35,123,C
"Anderson, Elliott and Rosales",Small,Automobile Manufacturers (OEMs),Port Susan,Iowa,4,"Sales Representative, CCO, Technical Representative",12,"Discuss project details, Contract negotiation, Follow-up on order, Customer inquiry, Product feedback, Follow-up on proposal",271,9984.52,11,0.44,41,A
Ochoa-Martin,Medium,Electric Vehicle (EV) Industry,Lake Annafort,Arkansas,1,CEO,19,"Customer inquiry, Follow-up on proposal, Product demostration, Follow-up on order, Discuss project details, Contract negotiation, Product feedback",49,10196.6,5,0.36,108,C
Williams Inc,Large,Electric Vehicle (EV) Industry,West Javier,Hawaii,2,"Technical Representative, CCO",12,"Contract negotiation, Customer inquiry, Product demostration, Follow-up on order, Discuss project details, Product feedback, Follow-up on proposal",209,9896.17,8,0.62,75,B
"Martinez, Sparks and Holland",Large,Automobile Manufacturers (OEMs),Katiemouth,Rhode Island,1,CCO,24,"Product demostration, Discuss project details, Follow-up on order, Follow-up on proposal, Product feedback, Customer inquiry, Contract negotiation",60,9771.34,7,0.35,60,C
"Guerra, White and Williams",Small,Electric Vehicle (EV) Industry,Port Larry,New York,1,CEO,12,"Follow-up on order, Follow-up on proposal, Product feedback, Contract negotiation, Product demostration, Customer inquiry, Discuss project details",50,10217.01,10,0.4,44,B
Lyons Group,Medium,Automotive R&D and Testing Centers,Browntown,Georgia,2,"CFO, Technical Representative",17,"Follow-up on proposal, Customer inquiry, Contract negotiation, Follow-up on order, Product feedback, Product demostration",134,10166.21,8,0.5,168,B
"Le, Rios and Foster",Medium,Automobile Manufacturers (OEMs),East Willieborough,North Dakota,1,Technical Manager,15,"Follow-up on order, Contract negotiation, Customer inquiry, Follow-up on proposal, Discuss project details, Product feedback",112,10038.86,6,0.46,34,C
Mendoza-Bruce,Medium,Automotive R&D and Testing Centers,West William,Minnesota,1,Sales Representative,16,"Product demostration, Customer inquiry, Follow-up on proposal, Product feedback, Discuss project details, Follow-up on order, Contract negotiation",55,9973.11,7,0.29,42,C
Owens Ltd,Small,Ridesharing & Mobility Services,New Johnport,South Carolina,2,"Sales Manager, Sales Representative",15,"Product demostration, Product feedback, Follow-up on order, Contract negotiation, Follow-up on proposal, Discuss project details, Customer inquiry",104,10087.73,5,0.28,67,C
White-Lewis,Medium,Ridesharing & Mobility Services,Douglasville,Ohio,2,"Sales Manager, Technical Representative",19,"Contract negotiation, Product demostration, Customer inquiry, Discuss project details, Product feedback, Follow-up on order, Follow-up on proposal",138,10055.73,11,0.38,53,A
"Osborne, Duncan and Murphy",Small,Automobile Manufacturers (OEMs),Lake Jasmine,Iowa,2,Sales Manager,13,"Product feedback, Follow-up on order, Contract negotiation, Follow-up on proposal, Customer inquiry, Discuss project details",48,9865.47,6,0.35,74,C
Carter-Ingram,Medium,Automobile Manufacturers (OEMs),Bryanmouth,Kentucky,4,"CFO, Technical Representative, Technical Manager, CEO",19,"Follow-up on proposal, Product demostration, Customer inquiry, Discuss project details, Product feedback, Contract negotiation, Follow-up on order",71,9917.9,8,0.53,132,B
Flores PLC,Medium,Ridesharing & Mobility Services,East Kimberly,New Mexico,1,CFO,22,"Discuss project details, Follow-up on proposal, Product feedback, Product demostration, Contract negotiation, Customer inquiry, Follow-up on order",85,10039.74,7,0.39,67,C
Barrett Group,Large,Ridesharing & Mobility Services,West David,Washington,5,"Sales Manager, CFO, Technical Manager",18,"Discuss project details, Customer inquiry, Follow-up on proposal, Contract negotiation, Product feedback, Follow-up on order, Product demostration",47,9867.8,4,0.27,44,C
Lee and Sons,Small,Fleet Management,North Steven,Minnesota,1,CCO,18,"Contract negotiation, Product feedback, Discuss project details, Customer inquiry, Product demostration, Follow-up on proposal",91,9862.4,6,0.33,116,C
Reed-Wilson,Large,Automobile Manufacturers (OEMs),Gainesberg,New York,1,Sales Manager,12,"Customer inquiry, Follow-up on proposal, Product demostration, Follow-up on order, Discuss project details",181,10202.48,13,0.59,97,A
"Levine, Stanton and Rodgers",Large,Connected Car Solutions Providers,Sarahburgh,Iowa,3,"CFO, Sales Manager",18,"Product feedback, Customer inquiry, Contract negotiation, Discuss project details, Product demostration, Follow-up on proposal, Follow-up on order",107,9922.36,10,0.42,37,B
"Ellison, Paul and Ross",Small,Fleet Management,Katelynport,Rhode Island,3,"Technical Representative, CFO, Sales Representative",16,"Customer inquiry, Contract negotiation, Product demostration, Discuss project details, Product feedback, Follow-up on proposal, Follow-up on order",37,10150.57,11,0.39,89,A
"Vincent, Jackson and Anderson",Medium,Automotive R&D and Testing Centers,East Courtneyhaven,Indiana,2,"CFO, CCO",15,"Product feedback, Follow-up on proposal, Discuss project details, Customer inquiry, Follow-up on order",145,9830.34,13,0.54,79,A
Solomon-Lucero,Medium,Connected Car Solutions Providers,West Laura,Maine,5,"CEO, CFO, Technical Manager",22,"Product demostration, Follow-up on proposal, Follow-up on order, Product feedback, Contract negotiation, Customer inquiry",87,9757.14,11,0.58,41,A
Ramirez Inc,Large,Ridesharing & Mobility Services,Lake Alexandraland,Arizona,2,"Sales Representative, Technical Manager",18,"Product feedback, Discuss project details, Contract negotiation, Follow-up on proposal, Follow-up on order",64,9972.73,5,0.24,192,C
"Christian, Lewis and Reid",Medium,Fleet Management,Port Michaelville,Indiana,3,"Technical Manager, CCO",16,"Follow-up on order, Contract negotiation, Follow-up on proposal, Product feedback, Product demostration, Discuss project details, Customer inquiry",74,9968.22,13,0.65,54,A
Johnson Inc,Large,Fleet Management,Jerryshire,Ohio,2,"CEO, Technical Representative",13,"Discuss project details, Product feedback, Product demostration, Contract negotiation, Follow-up on order, Customer inquiry, Follow-up on proposal",98,9670.14,6,0.43,69,C
"Cardenas, Kramer and Payne",Small,Fleet Management,Glennbury,Alabama,1,CFO,22,"Discuss project details, Contract negotiation, Product demostration, Customer inquiry, Follow-up on proposal, Follow-up on order, Product feedback",35,10026.1,15,0.65,82,A
"Rowe, Hale and Mason",Small,Electric Vehicle (EV) Industry,South Erika,Missouri,5,"Sales Representative, CFO, Technical Manager, CEO",16,"Follow-up on order, Follow-up on proposal, Contract negotiation, Discuss project details, Product demostration, Customer inquiry",89,10229.85,10,0.59,51,B
"Harper, Norton and Williams",Large,Connected Car Solutions Providers,Hatfieldmouth,Florida,2,CCO,22,"Follow-up on order, Product feedback, Product demostration, Contract negotiation, Discuss project details, Follow-up on proposal, Customer inquiry",67,10016.9,12,0.71,92,A
Wyatt Group,Small,Fleet Management,Laneview,Oklahoma,1,Technical Representative,15,"Discuss project details, Product demostration, Follow-up on order, Product feedback, Customer inquiry, Contract negotiation",134,9800.62,7,0.41,56,C
Shannon LLC,Small,Electric Vehicle (EV) Industry,Dickersonfurt,Michigan,1,Sales Representative,12,"Customer inquiry, Product demostration, Follow-up on order, Product feedback, Contract negotiation, Follow-up on proposal",262,10176.3,8,0.38,83,B
Ryan-Hicks,Medium,Electric Vehicle (EV) Industry,West Linda,Michigan,3,"CCO, Technical Representative",21,"Follow-up on order, Follow-up on proposal, Product demostration, Product feedback, Discuss project details, Customer inquiry, Contract negotiation",109,9916.09,10,0.59,46,B
Murphy-Welch,Large,Automobile Manufacturers (OEMs),New Kylie,Louisiana,2,"Sales Representative, CFO",19,"Follow-up on proposal, Contract negotiation, Follow-up on order, Customer inquiry, Discuss project details, Product feedback, Product demostration",52,10128.3,12,0.67,135,A
Woods-Herrera,Small,Fleet Management,Gailfurt,Georgia,3,"CCO, Technical Manager, Technical Representative",16,"Follow-up on proposal, Customer inquiry, Contract negotiation, Discuss project details, Product demostration, Follow-up on order",33,9804.06,8,0.47,47,B
Williams-Nelson,Large,Connected Car Solutions Providers,Norristown,Colorado,1,CFO,23,"Product demostration, Follow-up on proposal, Customer inquiry, Contract negotiation, Discuss project details, Follow-up on order",93,10083.83,10,0.5,50,B
Young Ltd,Small,Connected Car Solutions Providers,Lake Howard,Utah,2,"CCO, Sales Representative",19,"Follow-up on order, Follow-up on proposal, Contract negotiation, Discuss project details, Customer inquiry, Product demostration, Product feedback",37,10155.62,7,0.44,151,C
"Johnson, Holmes and Rodriguez",Small,Automobile Manufacturers (OEMs),Powersmouth,Oregon,2,"Technical Manager, CCO",19,"Product demostration, Discuss project details, Contract negotiation, Follow-up on proposal, Product feedback, Follow-up on order, Customer inquiry",92,9798.96,7,0.44,75,C
Thompson Group,Medium,Fleet Management,Lake Mariah,Virginia,1,Technical Representative,16,"Product feedback, Follow-up on proposal, Customer inquiry, Product demostration, Follow-up on order, Contract negotiation, Discuss project details",44,10140.53,9,0.47,144,B
Gordon-English,Small,Automotive R&D and Testing Centers,New Kristopher,Nebraska,2,"Technical Manager, CEO",9,"Customer inquiry, Follow-up on order, Contract negotiation, Product demostration",47,9683.3,12,0.55,97,A
Gross PLC,Small,Connected Car Solutions Providers,New Amy,Maryland,4,"Technical Manager, Sales Representative, Technical Representative",14,"Discuss project details, Product demostration, Follow-up on proposal, Product feedback, Follow-up on order, Contract negotiation",114,10129.65,2,0.25,184,C
"Gilmore, Wong and Gray",Small,Electric Vehicle (EV) Industry,Port Andrew,Louisiana,1,CFO,15,"Product feedback, Follow-up on order, Follow-up on proposal, Customer inquiry, Discuss project details, Contract negotiation, Product demostration",128,9847.42,14,0.56,154,A
Carr Ltd,Large,Electric Vehicle (EV) Industry,Courtneyborough,Texas,1,CEO,8,"Product feedback, Contract negotiation, Product demostration, Follow-up on order, Customer inquiry",41,10045.91,9,0.53,45,B
Davies and Sons,Small,Connected Car Solutions Providers,Annaborough,Idaho,1,Technical Manager,18,"Follow-up on order, Product demostration, Discuss project details, Product feedback, Customer inquiry, Contract negotiation, Follow-up on proposal",103,9975.79,10,0.5,38,B
"Herrera, Edwards and Jackson",Small,Fleet Management,Hicksville,Illinois,1,Sales Representative,10,"Discuss project details, Customer inquiry, Product demostration, Product feedback",443,9850.47,13,0.65,59,A
Horn PLC,Large,Ridesharing & Mobility Services,New Lindseytown,Illinois,2,CEO,15,"Follow-up on order, Follow-up on proposal, Discuss project details, Contract negotiation, Product feedback, Customer inquiry",38,10158.59,11,0.5,40,A
Schaefer Ltd,Small,Ridesharing & Mobility Services,Taylorstad,North Dakota,2,"Technical Manager, Sales Representative",20,"Contract negotiation, Customer inquiry, Follow-up on order, Follow-up on proposal, Product feedback, Discuss project details, Product demostration",45,9900.71,8,0.4,114,B
"Schaefer, Miller and Cortez",Large,Fleet Management,Samanthaburgh,Minnesota,1,CCO,17,"Contract negotiation, Discuss project details, Product feedback, Product demostration, Follow-up on order, Customer inquiry",51,9787.22,8,0.4,51,B
Green-Michael,Medium,Fleet Management,Acevedoton,Wisconsin,1,Sales Representative,17,"Follow-up on proposal, Customer inquiry, Follow-up on order, Product feedback, Product demostration, Contract negotiation, Discuss project details",50,10002.31,9,0.5,132,B
Barber-Stevens,Medium,Automobile Manufacturers (OEMs),Samanthaport,Delaware,1,CEO,20,"Discuss project details, Product demostration, Customer inquiry, Follow-up on order, Follow-up on proposal, Product feedback, Contract negotiation",33,10114.26,6,0.35,58,C
Molina-Howell,Large,Electric Vehicle (EV) Industry,Elizabethton,Nebraska,3,"Technical Manager, CFO, CCO",17,"Discuss project details, Product demostration, Customer inquiry, Follow-up on proposal, Product feedback, Follow-up on order, Contract negotiation",100,9725.87,9,0.47,67,B
Davenport PLC,Large,Automobile Manufacturers (OEMs),Watsonmouth,Kansas,2,"Technical Manager, Technical Representative",16,"Discuss project details, Customer inquiry, Product demostration, Follow-up on proposal, Contract negotiation, Follow-up on order",66,9851.4,8,0.42,94,B
Irwin Group,Small,Automotive R&D and Testing Centers,Mcdanielland,Minnesota,1,Technical Manager,16,"Product demostration, Follow-up on order, Follow-up on proposal, Product feedback, Customer inquiry",101,10249.57,6,0.5,94,C
Atkinson Group,Medium,Ridesharing & Mobility Services,Willieside,South Carolina,1,CCO,20,"Product feedback, Follow-up on order, Discuss project details, Product demostration, Contract negotiation, Customer inquiry, Follow-up on proposal",157,9791.01,8,0.33,125,B
Torres-Wilson,Medium,Ridesharing & Mobility Services,Smithburgh,Idaho,2,"Technical Manager, Technical Representative",13,"Contract negotiation, Product feedback, Customer inquiry, Product demostration, Follow-up on order, Follow-up on proposal",201,10109.93,9,0.41,34,B
Black Ltd,Small,Ridesharing & Mobility Services,Lake Christopherborough,Alabama,3,"CEO, CFO, Sales Manager",14,"Product demostration, Product feedback, Discuss project details, Customer inquiry, Follow-up on order, Follow-up on proposal, Contract negotiation",79,10327.83,7,0.47,104,C
Taylor-Parrish,Large,Electric Vehicle (EV) Industry,South Wendybury,Georgia,1,CEO,15,"Customer inquiry, Discuss project details, Product feedback, Product demostration, Follow-up on order, Contract negotiation, Follow-up on proposal",52,9656.99,11,0.44,51,A
